Current_Word,Next_Word,Levenshtein_distance
Older,PCs,5
PCs,Preventon,8
Preventon,PC,8
PC,PCs,1
PCs,Paul,3
Paul,Goosens,7
Goosens,Preventon,7
Preventon,BBC,9
BBC,News,4
News,Programs,7
Programs,Mr,7
Mr,Goosens,7
Goosens,Security,8
Security,High-profile,10
High-profile,Without,9
Without,PCs,7
PCs,Symantec,8
Symantec,Viruses,7
Viruses,Programs,7
Programs,Eastern,8
Eastern,Europe,6
Europe,Mr,5
Mr,Goosens,7
Goosens,UK,7
UK,July,4
July,UK,4
UK,Office,6
Office,National,7
National,Statistics,7
Speak,Music,5
Music,US,5
US,ScanSoft,7
ScanSoft,Gracenote,7
Gracenote,Huge,8
Huge,Ross,4
Ross,Blanchard,9
Blanchard,Gracenote,8
Gracenote,Gracenote,0
Gracenote,Apples,8
Apples,Users,5
Users,Alan,5
Alan,Schwartz,7
Schwartz,SpeechWorks,7
SpeechWorks,ScanSoft,9
ScanSoft,Gracenotes,8
Gracenotes,English,9
English,Users,6
Users,Portable,8
Portable,Apple,6
Apple,Elvis,5
Elvis,Presley,7
US,US,0
US,New,3
New,Yorker,5
Yorker,William,7
William,Trowbridge,9
Trowbridge,Texan,9
Texan,Michael,6
Michael,Chicoine,6
Chicoine,August,8
August,FBI,6
FBI,US,3
US,Department,10
Department,Justice,9
Justice,Direct,6
Direct,Connect,4
Connect,Underground,10
Underground,Network,9
Network,Direct,7
Direct,Connect,4
Connect,Users,6
Users,FBI,5
FBI,Operation,9
Operation,Digital,8
Digital,Gridlock,7
Gridlock,August,8
August,Five,6
Five,Department,9
Department,Justice,9
Justice,April,6
Sony,PSP,4
PSP,US,2
US,March,5
March,US,5
US,Sonys,5
Sonys,PlayStation,10
PlayStation,Portable,8
Portable,March,7
March,Europe,5
Europe,Spider-Man,9
Spider-Man,UMD,9
UMD,Sony,4
Sony,Walkman,7
Walkman,Century,7
Century,Japan,7
Japan,Sony,5
Sony,Nintendo,7
Nintendo,DS,8
DS,Japan,5
Japan,US,5
US,Sony,4
Sony,PSP,4
PSP,Europe,6
Europe,US,6
