Current_Word,Next_Word,Levenshtein_distance
Mobiles,Mobile,1
Mobile,UK,6
UK,Britains,8
Britains,Vodafone,7
Vodafone,January,8
January,Ernie,6
Ernie,Wise,4
Wise,Britons,6
Britons,Mobiles,6
Mobiles,New,6
New,York,4
York,UK,4
UK,St,2
St,Katherines,9
Katherines,Vodafones,7
Vodafones,Newbury,9
Newbury,Vodafone,8
Vodafone,UK,8
UK,January,7
January,Cellnet,7
Cellnet,O2,7
O2,Mike,4
Mike,Caudwell,7
Caudwell,Vodafone,8
Vodafone,Vodafone,0
Vodafone,Vodafone,0
Vodafone,UK,8
UK,Cellnet,7
Cellnet,Vodafone,7
Vodafone,UK,8
UK,One2One,7
One2One,T-Mobile,7
T-Mobile,Orange,7
Orange,UK,6
UK,Called,6
Called,Global,6
Global,System,6
System,Mobiles,6
Mobiles,Mr,6
Mr,Caudwell,8
Broadband,US,9
US,Americans,9
Americans,US,9
US,Federal,7
Federal,Communications,13
Communications,Commission,6
Commission,June,10
June,US,4
US,UN,1
UN,President,9
President,George,7
George,W,6
W,Bush,4
Bush,Americans,9
Americans,According,7
According,FCC,9
FCC,June,4
June,June,0
June,Whereas,6
Whereas,UK,7
UK,Asymmetric,10
Asymmetric,Digital,9
Digital,Subscriber,9
Subscriber,Line,8
Line,US,4
US,Broadband,9
Broadband,FCC,9
EA,TV,2
TV,Video,5
Video,Electronic,9
Electronic,Arts,9
Arts,US,4
US,Disney,6
Disney,EA,6
EA,Fifa,4
Fifa,John,4
John,Madden,5
Madden,Harry,5
Harry,Potter,6
Potter,James,5
James,Bond,5
Bond,EA,4
EA,EA,0
EA,Nine,4
Nine,UK,4
UK,EA,2
EA,Gerhard,7
Gerhard,Florin,7
Florin,EAs,6
EAs,European,7
European,EA,7
EA,Disney,6
Disney,Mr,6
Mr,Florin,5
Florin,PS3,6
PS3,Xbox,4
Xbox,Finding,7
Finding,Nemo,7
Nemo,Mr,4
Mr,Florin,5
Florin,EAs,6
EAs,EA,1
EA,Grand,5
Grand,Theft,5
Theft,Auto:,5
Auto:,San,5
San,Andreas,6
Andreas,Halo,7
Halo,Jan,3
Jan,Bolz,4
Bolz,EAs,4
EAs,Europe,5
Europe,TV,6
TV,Sims,4
Sims,Mr,4
Mr,Bolz,4
Bolz,EA,4
EA,Oscars,6
Oscars,Grammys,6
Grammys,Mr,6
Mr,Bolz,4
Bolz,Robbie,5
Robbie,Williams,7
Williams,Christina,8
Christina,Aguilera,7
Aguilera,Mr,7
Mr,Florin,5
Florin,TV,6
TV,TV,0
Microsoft,Microsoft,0
Microsoft,PC,9
PC,Windows,7
Windows,PCs,6
PCs,Windows,6
Windows,Internet,8
Internet,Explorer,7
Explorer,Four,6
Four,PC,4
PC,Many,4
Many,One,3
One,Microsoft,9
Microsoft,IE,9
IE,Stephen,7
Stephen,Toulouse,8
Toulouse,Microsoft,8
Microsoft,Often,9
Often,Media,5
Media,Player,6
Player,Windows,7
Windows,Messenger,9
Messenger,MSN,8
MSN,Messenger,8
Messenger,Microsoft,8
Microsoft,Sybari,9
Sybari,Software,5
Software,Microsofts,10
China,US,5
US,Chinese,7
Chinese,US,7
US,Chinas,6
Chinas,Market,6
Market,Panlogic,7
Panlogic,China,8
China,US,5
US,Chinese,7
Chinese,Already,7
Already,China,6
China,Western,7
Western,William,6
William,Makower,7
Makower,Panlogic,6
Panlogic,Western,8
Western,China,7
China,This,3
This,PCs,3
PCs,China,5
China,China,0
China,Chinese,3
Chinese,Mr,7
Mr,Makower,5
Makower,Net,6
Net,China,5
China,Chinese,3
Chinese,Mr,7
Mr,Makower,5
Makower,Many,5
Many,Chinese,6
Chinese,Mr,7
Mr,Makower,5
Makower,China,7
China,Cash-On-Delivery,13
Cash-On-Delivery,China,13
China,Mr,5
Mr,Makower,5
Makower,Chinese,7
Chinese,Western,6
Western,Government,8
Government,Chinese,8
Chinese,Familiarity,10
Familiarity,Mr,10
Mr,Makower,5
EU,European,7
European,European,0
European,Commission,9
Commission,MEPs,9
MEPs,EC,3
EC,Council,7
Council,Ministers,9
Ministers,May,8
May,EC,3
EC,President,9
President,Jos&#233;,9
Jos&#233;,Manuel,9
Manuel,Barroso,6
Barroso,President,9
President,European,8
European,Parliament,8
Parliament,Josep,9
Josep,Borrell,5
Borrell,Commission,9
Commission,Parliament,9
Parliament,Council,10
Council,May,7
May,European,7
European,Council,8
Council,European,8
European,Parliament,8
Parliament,EU,10
EU,Council,7
Council,Ministers,9
Ministers,French,9
French,Green,4
Green,MEP,5
MEP,Alain,5
Alain,Lipietz,6
Lipietz,Commission,9
Commission,Parliaments,10
Parliaments,Councils,10
Councils,US,8
US,US-based,6
US-based,Amazoncom,9
Amazoncom,Critics,8
Critics,Europe,7
Europe,This,6
This,Supporters,9
Supporters,EU,10
EU,US,2
Games,One,4
One,Britains,7
Britains,Argonaut,7
Argonaut,Games,8
Games,London-based,10
London-based,Harry,11
Harry,Potter,6
Potter,BBC,6
BBC,News,4
News,Online,6
Online,Argonaut,7
Argonaut,Argonaut,0
Argonaut,London,6
London,Stock,6
Stock,Exchange,8
Exchange,Argonaut,8
Argonaut,UK,8
UK,Along,5
Along,London,5
London,Cambridge,8
Cambridge,Sheffield,8
Sheffield,Argonaut,9
Argonaut,Harry,8
Harry,Potter,6
Potter,But,5
But,Argonaut,6
Argonaut,Signs,6
Signs,August,4
August,Argonaut,5
Argonaut,London,6
London,Stock,6
Stock,Exchange,8
Exchange,Jason,7
Jason,Parkinson,5
Parkinson,Argonaut,7
Argonaut,Argonaut,0
Argonaut,BBC,8
BBC,News,4
News,Online,6
Online,Mr,6
Mr,Parkinson,8
Parkinson,Argonaut,7
Argonaut,Argonaut,0
Argonaut,Edgware,6
Edgware,London,7
London,Morpheme,7
Morpheme,Kentish,8
Kentish,Town,7
Town,London,4
London,Add,5
Add,Monsters,8
Monsters,Cambridge,9
Cambridge,Argonaut,9
Argonaut,David,8
David,Rubin,4
Rubin,Partners,7
Partners,Friday,7
Friday,BBC,6
BBC,News,4
News,Online,6
Online,UK,6
UK,Christmas,9
Honour,UK,6
UK,Leading,7
Leading,British,6
British,Peter,6
Peter,Molyneux,7
Molyneux,OBE,8
OBE,New,3
New,Year,3
Year,Honours,6
Honours,Surreys,6
Surreys,Lionhead,7
Lionhead,Studios,8
Studios,Mr,7
Mr,Molyneux,7
Molyneux,Populous,6
Populous,Theme,8
Theme,Park,5
Park,Dungeon,7
Dungeon,Keeper,6
Keeper,Black,6
Black,White,5
White,Speaking,7
Speaking,BBC,8
BBC,News,4
News,Mr,4
Mr,Molyneux,7
Molyneux,Id,8
Id,Now,3
Now,Mr,3
Mr,Molyneux,7
Molyneux,Bullfrog,7
Bullfrog,Studios,7
Studios,Populous,6
Populous,God-games,7
God-games,Mr,9
Mr,Molyneux,7
Molyneux,Populous,6
Populous,Bullfrog,8
Bullfrog,Lionhead,8
Lionhead,Studios,8
Studios,Black,7
Black,White,5
White,One,4
One,Lionhead,6
Lionhead,Ive,7
Ive,Im,2
Commodore,Commodore,0
Commodore,US-based,9
US-based,New,7
New,Yeahronimo,9
Yeahronimo,Media,8
Media,Ventures,7
Ventures,Commodore,8
Commodore,Commodore,0
Commodore,Commodore,0
Commodore,Commodore,0
Commodore,PCs,9
PCs,Amiga,5
Amiga,Commodore,8
Commodore,Commodore,0
Commodore,International,12
International,Dutch,12
Dutch,Tulip,4
Tulip,Computers,8
Computers,Atari,7
Atari,Infogrames,9
Infogrames,Tulip,10
Tulip,Computers,8
Computers,Commodore,5
Commodore,USB,9
USB,Commodore,9
Commodore,Windows,7
Windows,PC,7
PC,Apple,5
Apple,Mac,5
Mac,PDAs,4
PDAs,Commodore,9
Commodore,Commodore,0
Broadband,UK,9
UK,High-speed,10
High-speed,UK,10
UK,BT,2
BT,UK,2
UK,BT,2
BT,Nationally,10
Nationally,Britain,8
Britain,Europe,7
Europe,According,8
According,Ofcom,7
Ofcom,UK,5
UK,Germany,7
Germany,UK,7
UK,Germany,7
Germany,Netherlands,7
Netherlands,BT,11
BT,BT,0
BT,Part,4
Part,BT,4
BT,ADSL,4
ADSL,UKs,4
UKs,Asymmetric,10
Asymmetric,Digital,9
Digital,Subscriber,9
Subscriber,Line,8
Line,Paul,4
Paul,Reynolds,7
Reynolds,BT,8
BT,Wholesale,9
Wholesale,BT,9
BT,Retail,6
Retail,Despite,5
Despite,Ofcom,7
Ofcom,BT,5
BT,Local,5
Local,Loop,3
Loop,Unbundling,10
Unbundling,BT,10
BT,Cable,5
Cable,Wireless,6
Wireless,NTL,8
NTL,LLU,3
LLU,September,9
September,Carrier,7
Carrier,Pre-Section,10
Pre-Section,TalkTalk,11
TalkTalk,OneTel,6
OneTel,CPS,6
CPS,BT,3
Bush,US,4
US,Surfers,7
Surfers,US,7
US,President,9
President,George,7
George,W,6
W,Bush,4
Bush,US,4
US,Monday,6
Monday,Since,5
Since,US,5
US,Bush,4
Bush,Netcraft,8
Netcraft,Netcraft,0
Netcraft,October,7
October,London,7
London,Amsterdam,8
Amsterdam,Sydney,8
Sydney,Netcrafts,9
Netcrafts,US,9
US,US,0
US,Canada,6
Canada,Geographic,9
Geographic,October,10
October,George,6
George,W,6
W,Bush,4
Bush,Akamai,6
Akamai,Mike,6
Mike,Prettejohn,9
Prettejohn,Netcraft,8
Netcraft,November,7
November,Managing,8
Managing,However,8
However,Americans,9
Americans,Akamai,7
Pompeii,European,6
European,Union-funded,10
Union-funded,Pompeii,11
Pompeii,Lifeplus,7
Lifeplus,EUs,7
EUs,Information,11
Information,Society,9
Society,Technologies,10
Technologies,European,11
European,Engineers,7
Engineers,Europe-wide,9
Europe-wide,Pompeii,8
Pompeii,Augmented,8
Augmented,Troy,9
Troy,Lord,4
Lord,Rings,5
Rings,Professor,8
Professor,Nadia,9
Nadia,Magnenat-Thalman,14
Magnenat-Thalman,Swiss,16
Swiss,MiraLab,7
MiraLab,Unlike,7
Unlike,Lifeplus,8
Lifeplus,Crucial,8
Crucial,UK,7
UK,Andrew,6
Andrew,Stoddart,7
Stoddart,EU,8
Domain,Cyrillic,7
Cyrillic,Internationalised,13
Internationalised,Domain,14
Domain,Names,5
Names,Internet,7
Internet,Electronic,8
Electronic,Task,10
Task,Force,5
Force,UK,5
UK,Internet,8
Internet,Forum,7
Forum,Registering,10
Registering,Stephen,9
Stephen,Dyer,6
Dyer,UKIF,4
UKIF,Domain,6
Domain,So-called,7
So-called,ASCII,9
ASCII,European,8
European,Unicode,7
Unicode,So,6
So,PayPal,6
PayPal,Latin,5
Latin,Russian,5
Russian,Russian,0
Russian,English,6
English,Paypalcom,8
Paypalcom,Verisign,9
Verisign,Internationalised,13
Internationalised,Domain,14
Domain,Name,5
Name,Mr,4
Mr,Dyer,3
Dyer,Paypal,5
Paypal,Mr,6
Mr,Dyer,3
Dyer,IDN,4
IDN,Mr,3
Mr,Dyer,3
Dyer,Mr,3
Mr,Dyer,3
Dyer,Another,5
Another,IDN-disabled,11
IDN-disabled,CENTR,11
CENTR,Council,6
Council,European,8
European,National,7
National,Top,7
Top,Level,5
Level,Domain,6
Domain,Registries,9
Registries,IDN-disabled,9
IDN-disabled,IDNs,8
US,US,0
US,New,3
New,Yorker,5
Yorker,William,7
William,Trowbridge,9
Trowbridge,Texan,9
Texan,Michael,6
Michael,Chicoine,6
Chicoine,August,8
August,FBI,6
FBI,US,3
US,Department,10
Department,Justice,9
Justice,Direct,6
Direct,Connect,4
Connect,Underground,10
Underground,Network,9
Network,Direct,7
Direct,Connect,4
Connect,Users,6
Users,FBI,5
FBI,Operation,9
Operation,Digital,8
Digital,Gridlock,7
Gridlock,August,8
August,Five,6
Five,Department,9
Department,Justice,9
Justice,April,6
Concern,RFID,7
RFID,Consumers,9
Consumers,ID,9
ID,Europe,6
Europe,UK,6
UK,France,6
France,Germany,5
Germany,Netherlands,7
Netherlands,Capgemini,9
Capgemini,RFID,9
RFID,RFID,0
RFID,Fifty,5
Fifty,RFID,5
RFID,Ard,4
Ard,Jan,3
Jan,Vetham,5
Vetham,Capgeminis,9
Capgeminis,RFID,10
RFID,RFID,0
RFID,RFID,0
RFID,RFID,0
RFID,Tesco,5
Tesco,UK,5
UK,M6,2
M6,Toll,4
Toll,Midlands,7
Midlands,UK,8
UK,Mr,2
Mr,Vetham,6
Vetham,RFID,6
RFID,Consumers,9
Consumers,Supermarket,9
Supermarket,Privacy,10
Privacy,Invasion,7
Invasion,Numbering,8
Numbering,RFID,9
Tech,Motorsport,10
Motorsport,Endeavour,9
Endeavour,Club,8
Club,Autosport,9
Autosport,International,11
International,Birminghams,12
Birminghams,NEC,11
NEC,Motorcycle,10
Motorcycle,Roy,8
Roy,Tansley,6
Tansley,Derby,6
Derby,Mr,4
Mr,Tansley,7
Tansley,BBC,7
BBC,News,4
News,Heath,4
Heath,Robinson,8
Robinson,Mr,8
Mr,Tansley,7
Tansley,Autocycle,8
Autocycle,Union,8
Union,Mr,5
Mr,Tansleys,8
Tansleys,Pro-Shift,9
Pro-Shift,Hewland,9
Hewland,Mr,7
Mr,Tansley,7
Tansley,Pro-Shift,9
Pro-Shift,Isle,9
Isle,Man,4
Man,TT,3
TT,Ill,3
Ill,Another,7
Another,Motorsport,8
Motorsport,Endeavour,9
Endeavour,Subaru,7
Subaru,Impreza,7
Impreza,ParaRallying,11
ParaRallying,Lincolnshire,11
Lincolnshire,Italian,10
Italian,Dave,6
Dave,Hawkins,6
Hawkins,Mr,7
Mr,Hawkins,7
Hawkins,ParaRallying,9
ParaRallying,Vauxhall,8
Vauxhall,Astra,7
Astra,GSI,5
GSI,Subaru,6
Subaru,Imprezas,8
Imprezas,Joy,8
Joy,Rainey,5
Rainey,Murray,5
Murray,Australian,7
Australian,Formula,8
Formula,Rainey,7
Rainey,Senior,6
Senior,London,4
London,Sydney,6
Sydney,Marathon,8
Marathon,Trevor,6
Trevor,Morris,6
Morris,Minor,5
Minor,Motorsport,7
Motorsport,Endeavour,9
Endeavour,Club,8
Napster,Music,6
Music,Paying,5
Paying,Paul,4
Paul,Myers,5
Myers,Wippit,6
Wippit,UK-based,8
UK-based,Napster,7
Napster,Napster,0
Napster,Go,7
Go,UK,2
UK,Microsoft,9
Microsoft,Windows,7
Windows,Digital,6
Digital,Rights,4
Rights,Management,9
Management,Janus,8
Janus,Samsung,5
Samsung,Rio,7
Rio,Creative,7
Creative,Currently,6
Currently,US,9
US,Users,4
Users,Napster,5
Napster,PC,7
PC,Napster,7
Napster,Mr,6
Mr,Myers,3
Myers,Format,6
Format,Wippit,5
Wippit,Wippit,0
Big,Medal,5
Medal,Honor,5
Honor,Call,5
Call,Duty,4
Duty,PC,4
PC,Call,4
Call,Duty,4
Duty,Medal,5
Medal,Honor,5
Honor,Pacific,7
Pacific,Assault,7
Assault,PC,7
PC,Rising,6
Rising,Sun,5
Sun,Call,4
Call,Duty:,5
